id,customer_id,date,caller,status,result,notes
06/07/2501,71176,23/01/2026,กล๊อฟ [Telesale],รับสาย,ไม่สนใจ,รับสาย ใช้หมดแล้ว บอกว่าไม่ได้ใช้แล้วตอนนี้ ใช้ยาตัวอื่นของที่อื่นแล้ว 
26/06/2501,57863,23/01/2026,กล๊อฟ [Telesale],รับสาย,ไม่สนใจ,หมดนานแล้ว ไม่ได้ใช้ของเทพมงคลแล้ว ลองใช้ตัวอื่นอยู่ 23/1/69
19/06/2501,53767,23/01/2026,กล๊อฟ [Telesale],รับสาย,ไม่สนใจ,จำไม่ได้แล้ว ว่าสั่ง แล้วก็บอกว่าไม่สะดวก ประชุม อ้างเลย 23/1/69
25/05/2501,240903,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,รับสายบอกใช้หมดไปแล้ว แต่ช่วงนี้ไม่ค่อยได้ใช้เท่าไหร่แล้ว ไม่มีเวลาฉีด น่าจะใช้อีกทีช่วงหน้าฝนช่วงนั้น 23/1/69
02/04/2501,236039,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,รับสาย บอกว่า ยังเหหลือนิดนึง จะหมดแล้วหล่ะ แต่ตอนนี้มันหายแล้วพวกโรคนะ จะเอาว้แค่ฉีดป้องกัน เฉยๆ ระมาณ เดือนหน้านี้แหละ จะใช้งาน เลยแนะนำสินค้าตัวอื่นๆ ไปให้ด้วย 6-3 ตัวแมลง และปุ๋ยน้ำ ตอนแรกดูสนใจ พอบอกเราไปแล้ว บอกเด๊่ยวรอดูกก่อน 23/1/69
19/02/2501,233735,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,รับสาย บอกว่าใช้หมดแล้ว แต่ยังไม่ได้ใช้ต่อ เพราะจะปลูกปีละครั้ง ช่วงหน้าหนาว จะเริ่มปลูกอีกทีน่าจะปลายกันยายน ปีนี้และ ตอนนี้ก็พักแปลงยาวเลยทำอย่างอื่น 23/1/69
25/01/2501,231175,23/01/2026,กล๊อฟ [Telesale],รับสาย,ขายได้,รับสายบอกว่า ใช้หมดไปนานแล้ว แต่ตอนนี้ มันก็ยังมีอยู่นะ ตอนนั้น เอามาฉีดมะพร้าว มะนาว แล้วก็กล้วย เลยถามว่าเจอพวกเชื้อราบ้างไหมลูกค้าบอกว่ากล้วยอะมี เลยแนะนำโปรโมชั่นคู๋กันไปให้ ลูกค้าเลยสนใจทดลองก่อนชุดนึง มีไม่เยอะหรอก เลยแนะนำวิธีใช้งานการผสมไปให้ และบอกว่าจะโทรไปติดตามผลว่าใช้งานเป็นอย่างไรบ้าง 
09/12/2500,229895,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,เอามาพ้นใบกระท่อม แม่บกว่ายังม่หมด สั่งมารอบหลังเพิ่มเติม ไม่รู้ว่าเพจไหน และจริงไหม แต่บอกว่าสั่งมาซองนึง ปกติจะฉีดเดือนละ 2ครั้ง 15วันครั้ง หมดแล้วก็สั่ง โบรอนยังเหลือ เพราะใช้ไม่เยอะ ใบสวนเขียวดี ขนาดสวนข้างๆยังมาถาม เพราะเขาปลูกแล้ว ใบไม่สวยเท่าของแม่ เลยบอกว่าถ้าหมดแล้ว จะใช้รอบหน้า ให้แม่โทรหาเรา และบอกว่าจะโทรหาแม่อีกทีสิ้นเดือนมีนา 
22/10/2500,222471,23/01/2026,กล๊อฟ [Telesale],ติดสายซ้อน,ติดสายซ้อน,รับสายแล้วพูดว่าค่ะ บอกเราบอกว่ามาจากเทพมงคล ตัดสายเลยจร้า 23/1/69
11/09/2500,76295,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,รับสาย บอกว่า ยังไม่หมดเหลือ ครึ่งซองเลยแนะนำให้ใช้ให้หมดก่อนกลางเดือนหน้าเพราะจะหมดอายุแล้ว และแนะนำบิวไปให้ด้วยแจ้งโปรโมชั่นคุ๋กัน ลูกค้าบอกว่ารอให้อันนี้หมดก่อน เพราะตอนนี้กำลังปลูกใหม่ เด๊่ยวของเก่า จะเอาไปฉีดหน้ายางด้วย ถามเราว่าฉีดได้ไหม เลยแนะนำไปว่าฉีดได้และฝากบันทึกเบอร์เราไว้ เด๊่ยวสิ้นเดือนหน้า จะโทรหาอีกที 23/1/69
04/08/2500,71431,23/01/2026,กล๊อฟ [Telesale],รับสาย,ไม่สนใจ,รับสายไม่พูดปากอม สต. แล้วก็ตัดสายทิ้ง 
19/07/2500,57094,23/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,โฟอิงลิช 23/1/69
07/05/2500,240646,23/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,รับสาย บอกว่ายังใช้ไม่หมด ยังเหลือ1 ซอง โดยรวมถือว่าใช้ได้ดี ถ้าหมดก็น่าจะสั่งต่อ 1ซองใช้ประมาณ 3เดือน หลังจะฉีดกล้วยกับพุทรา ฝรั่งไม่ค่อยมีปัญหา ปลูกเยอะสุดจะเป็นกล้วย ไม่มีปัญหาพวกตายพาย เพราะช่วงนี้แล้ง เลยแนะนำสินค้าเราไปให้ ลูกค้ายังไม่สนใจเพราะ ปลูกน้อยจะเยอะก็แต่กล้วย ยังไม่มีปัญหาอะไร มาก ทางดินก็ใส่ปุ๋ยคอก เพราะทางบ้านเลี้ยงสัตว์ด้วย เลยบอกว่าถ้าอยากได้อะไรเพิ่ม เติม เข้าไปดูในเพจได้แล้วโทรมาสั่งได้เลย 23/1/69
13/03/2500,221702,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,โทรกลับมาเพราะโทรหาไม่รับ ลูกค้าบอกว่าใช้หมดแล้ว แต่ช่วงนี้ ยังไม่ได้ใช้ เพราะพึ่งขึ้นน้ำ หน้าจะประมาณ เดือนหน้า ปลายๆเดือนหรือไม่ก็ต้นมีนาคมช่วงนั้น เอามาใช้กับส้มเขียวหวาน และก็ทุเรียนบ้างนิดหน่อย ตอนนี้กำลังเป็นดอกแล้ว ทยอยๆ เลยแนะนำโบรอนไปให้ ลูกค้ามีแล้ว ตัวที่ใช้อยู๋ประจำเลยยังไม่อยากเปลี่ยน เลยแนะนำของเราไปให้ บอกว่า ถ้าจะใช้อะไรเพิ่มเติมโทรหาเราเบอร์นี้ได้เลย และบอกว่าจะโทรหาสิ้นเดือนหน้า 23/1/69
25/02/2500,46951,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ได้ลองใช้,โทรมาหาบอกว่ายังไม่ได้ของ เลยไปตามของให้สรุปพลัดวันประกันพรุ่ง ลูกค้าเลยบอกว่า รอบหน้าถ้าพี่สั่ง ส่งเคอรี่เท่านั้น เพราะลูกชายพี่ทำงานอยู่ที่นั้น ไม่ต้องเอาแฟลชให้พี่แล้วนะ หลายรอบแล้ว ไอ้คนนี้ เลยบอกโอเคร ถ้าสั่งรอบหน้า จะเลือกเป้นเคอรี่ให้ 23/1/69
06/08/2499,232710,23/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,ไม่รับสาย 23/1/69
21/07/2499,229126,23/01/2026,กล๊อฟ [Telesale],ติดสายซ้อน,ติดสายซ้อน,ไม่ใช้แล้ว แล้วก็ตัดสายทิ้ง 23/1/69
07/07/2499,224006,23/01/2026,กล๊อฟ [Telesale],รับสาย,ขายได้,รับสาย บอกว่ายังใช้ไม่หมดเลย มี20ต้นเอง  แต่ใช้ดีนะ พี่ใช้สลับกับปุ๋ยคอก เลยใช้ได้นาน เลยถามว่าใส่ปุ๋ยคอกเจอแมลงไหม ลูกค้าบอกว่ามี เลยแนะนำบิวไปให้ทดลองใช้งานดู และนแนะนำโบรอนไปให้ด้วย เพราะลูกค้าบอกมันติดลูกเรื่อยๆ แต่พอแจ้งราคาไปแล้ว บอกเอาแมลงก่อนเพราะแมลงเยอะ ถ้าใช้ดี ค่อยว่ากัน เลยบอกว่าจะโทรติดตามผลอีกที 23/1/69
18/05/2499,72454,23/01/2026,กล๊อฟ [Telesale],รับสาย,ไม่สนใจ,รับสายบอกไม่ใช้แล้ว กลัวเป็สแกมเมอร์ บอกว่าถ้าจะใช้จะสั่งไปเอง แค่นี้นะ 23/1/69
02/05/2499,59653,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,โทรกลับมา บอกว่าช่วงนี้ ไม่ได้ใช้ แล้วเพราะหมดฝน แล้ว จะใช้อีกช่วงทีฝน เอามาใช้ทุเรียนด้วย เงาะมังคุด ผสมผสาน มีหลายอย่าง เลยฝากสินค้าตัวอื่นๆ ไปให้ในไลน์ ตามเบอร์ บอกว่าจะส่งข้อมูลไปให้ช่วงไหนที่มีโปร 23/1/69
11/04/2499,221702,23/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,โทรหาสองครั้ง ไม่รับสาย รอติดต่อใหม่ 23/1/69
27/03/2499,81158,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ได้ลองใช้,รับสายบอกว่ายังไม่ได้ลองใช้เลยที่สั่งมาช่วงนั้น ยังมีฝนตกอยู่ แต่พอหมดฝนจะลองใช้ มันก็ไม่ค่อยมีเชื้อราแล้ว เลยไม่ได้ใช้เลยตอนนั้น มีกลัวเป้นตายพายอยู่สามสี่ต้นว่าจะลอง มันหายเองก่อน ทุเรียน ก็ใบเหลืองๆ พอหมดฝนมันก็เขียวขึ้น เลยไม่ได้ลองสักที เลยแจ้งเรื่องวันหมดอายุไปให้ และฝากสิ้นค้าตัวอื่นๆของเทพมงคลไปให้ทั้งเม็ดและน้ำ และบอกว่าถ้ามีโปรช่วงไหน จะโทรแจ้ง 23/1/69
10/02/2499,77062,23/01/2026,กล๊อฟ [Telesale],รับสาย,ไม่สะดวกคุย,รับสายบอกว่า ยังจ้า ยังไม่ได้ดูเลยว่าหมดยั้ง แล้วก็จ้าๆ วางสายไป ยังถามไม่เสร็จเลย 23/1/69
30/01/2499,56325,23/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,รับสายบอกว่า มันชอบขึ้นว่าหมายเลขนี้เป้นสแปม เลยไม่ค่อยรับสาย บอกว่าใช้งานอยู่ ยังไม่หมดเพราะมีพร้าว 3ต้นเอง และอ้อย 20กอ ปลูกไว้กินเอง โดยรวมใช้ได้ดีนะ ประมาณ 7-15วันครั้ง เหมือนก่อน กัดยอดหักเลย ตอนนี้ไม่ค่อยเห้นเท่าไหร่แล้ว  ยังเหลืออีก1 ซอง ยังไม่ได้แกะ เลยแจ้งเรื่องวันหมดอายุไปให้ บอกว่าถ้าหมดแล้วจะใช้เพิ่ม โทรหาเบอร์นี้ได้เลย 23/1/69
29/12/2498,71174,23/01/2026,กล๊อฟ [Telesale],ไม่มีสัญญาณ,ไม่มีสัญญาณ,ไม่มีสัญญาณ 23/1/69
28/10/2498,306838,23/01/2026,กล๊อฟ [Telesale],รับสาย,ขายได้,ลูกจากในเฟส ไม่แน่ใจใครแนะนำมา โทรมาสั่ง สิงส้มไปทดลองก่อน 5กระสอบ ว่่าถ้าใช้ดีจะสั่งเพิ่มอีก2 ตัน เพราะมี 30ไร่ ตอนนี้กำลังจะเอาใบก่อนจะทำดอกแล้ว และแนะนำบิวไปให้ด้วยเพราะเจอพวกเพี้ยเยอะ แต่สว่นใหญ่ใช้เคมี และให้ลูกน้องที่สวนผสมฉีดให้ เลยบอกว่ามีอะไรโทรหา หรือแจ้งมาในเฟสได้เลย 
16/05/2498,71459,23/01/2026,กล๊อฟ [Telesale],รับสาย,ไม่สะดวกคุย,รับสายบอกว่ายังใช้อยู่จะวางอย่างเดียวเลยปล่อยไปให้มันหมดอายุนั้นและ ทรงนี้น่าจะไม่ใช้แล้วหรือถ้าใช้คงสั่งในเพจ 23/1/69
02/05/2498,53817,23/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,ยังไม่หมดเลยใช้น้อยป้ากะไม่ถูก เอามาใช้กับมะละกอ3ต้นเอง แล้วก็มีต้นอื่นๆอย่างละต้นสองต้น ข้างบ้านเอง พื้นที่มันไม่เยอะ แล้วก็มียาของน้องสาวเอามาให้จากปทุมด้วย ป้าก็ไม่ค่อยเขาใจแต่ก็ใช้อาทิตย์ละสองครั้งนะ ตอนนี้ใบก็ยังเหลืองอยู่ติดลูกก็น้อย เลยแนะนำให้ใช้เรื่อยๆ และงดปุ่นตัวหน้าสูงๆ มีอะไรโทรมาถามได้เลย 13/1/69
21/04/2498,71723,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,รับสายบอกว่า ช่วงนี้ไม่ค่อยใช้แล้วพอดีพี่ไม่ได้ปลูกพวกโหรพาแล้ว มาปลูก เป็นน้ำเต้าแทนแล้วดูแลง่าย ไม่ค่อยมีปัญหาอะไร ไตรโครตอนนั้น ก็ใช้พอได้นะ ไม่ถึงกับดี คุมโนคได้ แต่ไม่หายขาด ฝากปุ๋ยยา ไปให้ลูกค้าบอกมีครบแล้ว เป้นยาที่เหลือจากนาข้าวมาใช้ก่อน เพราะไม่ได้ทำเยอะ เลยถามว่าจะได้ใช้ไตรโครอีกไหม ลูกค้าบอกว่า ถ้าปลูฏพวกโหรภาอีกก็อาจจะใช้นะ 23/1/69
15/02/2498,29489,23/01/2026,กล๊อฟ [Telesale],รับสาย,ขายได้,ทักไปในไลน์ ลูกค้าเจอปัญหาดินเสื่อม ต้นไม่ค่อยโต ใบเหลือง เลยแนะนำ สารปรับปรุงดิน ไปทดลองก่อน 1กระสอบ ให้ลองใส่ และให้ลูกค้าถ่ายต้นที่ในเหลือง มาให้ดู เพราะจะได้รู้ว่ารากไม่เดินหรือเชื้อรา ส่งสารปรับดินให้ลองก่อน 1กระสอบ แนะนำวิธีใส่ไปแล้ว ค่อยติดตามผล ในไลน์ 23/1/69
03/01/2498,253642,23/01/2026,กล๊อฟ [Telesale],รับสาย,ขายได้,รับสาย บอกว่า เหลือฉีดได้อีก2 ครั้ง ตอนนี้กำลังเก็บผลผลิต หมดรุ่นนี้ ก็จะไปปลูกอีกที หลังหน้าฝนเลย เพราะไม่น้ำ น้ำไม่พอจะปลูก เล่น เอาเพิ่ม 1ชุดก่อน โดยรวมใข้ดี ไม่มีปัญหาอะไรเลย เลยบอกจะโทรหาอีกที หลังเมษายน 23/1/69
20/09/2497,27179,23/01/2026,กล๊อฟ [Telesale],รับสาย,คนอื่นรับสายแทน,เมียรับสายแทน บอกว่ายังไม่หมด ไม่สะดวก แล้วก็วางสายไป  รอบหน้าไม่ใช้ก็ปล่อย 23/1/69
25/08/2497,256420,23/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,รับสาย บอกว่า ทดลองใช้แล้ว เอามาใช้กับทุเรียนเล็ก มีอาการแล้ว ฉีดพ่นทั่วต้นเลย เลยบอกว่าอย่าลืมเน้นโคนต้น และห้ามผสมยาฆ่าแมลง  และฝากสินค้าตัวอื่นๆ ไปให้ ลูกค้าบอกว่าจะเข้าไปดูในเพจ เลยบอกว่าถ้าอยากสั่งรอบหน้า บันทึกเบอร์ไว้ได้ ช่วงไหนมีโปรโมชั่นจะโทรไปแจ้ง 23/1/69
29/05/2497,29037,22/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,รับสายบอกว่า ทุเรียนกำลังเป็นดอกแล้ว ดอกมาไว้ปีนี้  และบอกว่าปุ๋ยยังไม่หมดเลยพึ่งฉีดไตรโครไป โบรอน มีหลายเจ้าเลยแถวบ้านก็มีขาย ปุ๋ยเม็ดใส่หมดไปแล้ว บางตัวพี่เล่นเฟสอยู๋เลื่อนๆไปเห็นก็สั่งเลย เด๊่ยวต่อไปพี่จะโทรหาน้องแล้วกัน เพราะพี่ติดตามน้องโบว์ในเฟสอยู่ เลยบอกจะโทรเยี่ยมเยียนสองเดือนครั้ง 
18/04/2497,44324,22/01/2026,กล๊อฟ [Telesale],รับสาย,ฝากส่งไม่ได้ใช้เอง,สั่งให้แม่ใช้ ยังไม่ได้สอบถามเลย ถ้าว่างๆ จะถามให้นะ 22/1/69
22/03/2497,27770,22/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,รับสายบอกว่า ยังไม่มีเงินสั่ง ว่าจะใช้อยู่นี้แหละ แต่รอเงินตัดอ้อย ก่อน 22ไร่ ถ้าไม่ได้ตัดอ้อย ก็ไม่มีเงินซื้อปุ๋ยซื้อยาอะไร ต้องเก็บไว้กินก่อน ว่าจะสั่งเยอะอยู๋ถ้าตัดอ้อยแล้ว เด๊่ยวพี่จะโทรหา ไม่ลืม เมมเบอร์ไว้แล้ว เลยบอกจะโทรหาสิ้นเดือนหน้า หรือถ้าตัดอ้อยก่อนแล้ว จะใช้อะไร โทรมาหาก่อนได้เลย 22/1/69
05/02/2497,27679,22/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,โทรหาสองครั้ง ไม่รับสาย 22/1/69
12/01/2497,28286,22/01/2026,กล๊อฟ [Telesale],รับสาย,สั่งช่องทางอื่นแล้ว,พี่ลืมบันทึกเบอร์เราไว้ พึ่งสั่งมา 2ชุด 4-24+โบรอน พึ่งได้ของเมื่อวาน สั่งเพจไหนไม่รู้ ไว้รอบหน้าละกันนะ รุ่นแรกนี้ใข่ไก่แล้ว รุ่นสองดอกกำลังจะบาน เลยบอกว่าถ้ารอบหน้า จะใช้อะไรโทรหาเราเบอร์นี้ได้เลย 22/1/69
02/12/2496,28605,22/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,โทรสองครั้ง ไม่รับสาย ถ้าเบอร์เรา ลองให้ตูนโทรให้ดู ว่ามัน จะสั่งไหม 22/1/69
16/10/2496,28700,22/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,น่าจะตห. ไปแล้ว นะ เพราะไม่เคยรับสายอีกเลย หลังจากที่สั่งปุ๋ยไป ไม่ว่าใครจะโปรหา 22/1/69
24/09/2496,30476,22/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,ติดตามผล เดือนหน้าอีกที เพราะลูกค้าบอกยังไม่ค่อยได้ผล ใส่ตัวอื่นไป ด้วยต้องรอดูผล 22/1/69
05/07/2496,30356,22/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,ไม่รับสาย ไลน์ ไม่อ่าน ไม่น่าจะใช้แล้วแหละ น่าจะ ตห. 22/1/69
27/05/2496,30619,22/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,ใส่ไปแล้ว หมดแล้ว ทั้งเม็ดและน้ำ แต่ช่วงนั้น ฝนตก เลยไม่ค่อยเห้นผล หลังจากหมดฝนก็ฉีดได้สักสามรอบ ได้นะ 2อาทิตย์ฉีดครั้งนึง ก็ยังไม่ค่อยติดลูก ตอนนี้กำลังลองปุ๋ยหมักตัวเอง หมักเองดูก่อน ว่าจะเป้นยังไง ถ้าไม่โอเด๊่ยวพี่จะติดต่อไป บิวยังเหลือนิดหน่อยนะ เลยบอกว่าน่าจะหมดอายุแล้ว ถ้าจะใช้ ให้สั่งไปใหม่ ลูกค้าบอกว่า เด๊่ยวรอดูก่อน จะติดต่อไป 22/1/69
28/04/2496,44304,22/01/2026,กล๊อฟ [Telesale],รับสาย,สั่งช่องทางอื่นแล้ว,รับสายบอกว่าช่วงนี้ ไม่ค่อยได้ใช้แล้ว มันหมดฝน เลยแนะนำสินค้าตัวอื่นๆ ไปให้ ลูกค้าบอกว่าโอเคร เด๊่ยวเขาไปดูในเฟสก่อนว่ามีตัวไหน ที่ต้องการบ้างไหม ถ้าจะใช้จะติดต่อไปเอง 22/1/69 (มีทั้งทีเรียนเล็กและใหญ่กำลังเป็นดอก)
15/03/2496,53601,22/01/2026,กล๊อฟ [Telesale],รับสาย,ไม่สนใจ,ไม่ใช้แล้วละ โทรหาหลายรอบ คำตอบเดิมๆ ไม่มีตัง ไม่น่าจะใช้แล้วละ ไม่ตามละ 
29/01/2496,44809,22/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,โทรหา สองครั้ง ไม่รับสาย 22/1/69 ลองให้คนอื่นโทรรอบหน้า 
03/01/2496,48380,22/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,รับสาย บอกว่าใช้ แบบเคมีอยู่ ร้านขายปุ๋บแถวบ้าน ไตรโคร เอาม่อยู๋ เชื้อราใบขาวๆ เลยต้องเอาตัวนี้ก่อน ปุ๋ยน้ำใช้ดีกับมะละกอ ติดลูกเยอะขึ้นมาก เลยฝากถ้าอะไรหมดให้โทรหาเราเบอร์นี้ ลูกค้าไม่ค่อยสบาย เลยไม่อยากชวนคุยเยอะ 22/1/69
29/09/2495,306490,22/01/2026,กล๊อฟ [Telesale],รับสาย,ขายได้,โทรหารับสายบอกว่า ทุเรียนกำลังเป็นดอกอยู่สามต้น ตอนแรกมี10ต้น มันตายไป 2-3ต้นแล้ว ขนาด ต้น 6-7ปีก็ยังตาย เลยแนะนำ วิธีการใช้งานให้ ลูกค้าบอกว่ามี4-24ปีก่อนยังเหลือยู่ เลยแนะนำวิธีผสมการใช้ไปให้อีกรอบ และแนะนำไตรโครไปเพิ่ม ลูกค้าเลยเอาเพิ่ม 1ซองให้ส่งตามกันไป และบอกว่า มีอะไร โทรหาเราได้เลย จะโทรเยี่ยมเยียนใหม่ 22/1/69
18/07/2495,306531,22/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ได้ลองใช้,รับสายบอกว่า สั่งบิว 6 ไคโตรซาน 2 ฉีดนาข้าว นาปัง พึ่งหวานไปได้ เกือบเดือนแล้ว ซื้อไว้ใช้ได้ทั้งปี เพราะรอบนึงจะฉีด 1-2รอบแล้วแต่ว่ามีอาการไหม ถ้าไม่มีอาการจะใช้ครั้งเดียว ตอนปลูกได้สองเดือน ถ้ามีอาการก็อาจจะสองครั้ง เน้นป้องกัน ไว้ก่อน ฉีดรอบละซองเลย แต่แบบน้ำใช้น้อย เลยบอกว่าถ้ารอบหน้า จะสั่งอะไร โทรมาสั่งเพิ่มเติมเบอร์นี้ได้เลย 22/1/69
28/03/2495,48985,22/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,ไลน์ไปแจ้ง ว่า ปุ๋ยน้ำเสมอมีแล้ว เม็ด จะมาเดือนเมษา ลูกค้าเลยบอกเอาไว้ก่อนรอปุ๋ยเม็ด ดูก่อน 22/1/69
24/02/2495,218945,22/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,รับสายบอกติดดอกเยอะแต่ น่าจะใช้อีกทีปีหน้าเลยเพราะยังเหลือ2 ขวด ไว้ใช้รอบหน้า รอบนนี้จะค่อยทยอยเริ่มหยุดใช้แล้วเพราะเป็นดอกหมดแล้ว โบรอนมีใช้แล้ว ปุ๋ยยามีครบแล้ว 
25/01/2495,26832,22/01/2026,กล๊อฟ [Telesale],รับสาย,ขายได้,โทรมาสั่งบิว 2ซอง เอาแค่นี้ก่อน ตัวอื่นค่อยว่ากัร 22/1/69
